poi_id,business_name,address,city,state,zip,lat,lon,record_type,operating_status,poi_confidence,geocode_precision,competition_3mi,nearest_competitor_mi,median_household_income_est,renter_pct_est,multifamily_pct_est,no_vehicle_pct_est,population_density_est,hispanic_pct_est,black_pct_est,immigrant_language_proxy_pct_est,income_fit_score,renter_score,multifamily_score,no_vehicle_score,density_score,ethnicity_language_proxy_score,demand_score_0_100,opportunity_score_0_100,map_color,demand_zone,data_quality_flag,source,source_url,notes,google_maps_url
EX001,Best Coin Laundry,9245 Skillman St,Dallas,TX,75243,32.914,-96.727,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,19,0.6,57689,43.9,39.1,6.4,4774,29.1,30.2,24.5,100,53.1,38.2,33.8,59.5,53.7,51.4,35.9,red,Garland South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.914,-96.727"
EX002,Clean N Bright Coin Laundry & Dry Cleaners,11555 Ferguson Rd,Dallas,TX,75228,32.849,-96.674,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,14,0.84,54712,59.5,40.3,12.7,4928,40.7,30.4,29.7,100,87.8,40.6,82.3,62.3,68.1,69.1,48.8,yellow,Garland South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.849,-96.674"
EX003,Speed Wash & Dry,4828 Columbia Ave,Dallas,TX,75226,32.793,-96.765,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,52,0.21,59443,54.5,38.1,9.2,5180,41.1,23.0,30.9,100,76.7,36.2,55.4,66.9,66.0,60.3,38.8,yellow,East Dallas,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.793,-96.765"
EX004,Lusso Laundry To Go,2119 W Colorado Blvd,Dallas,TX,75211,32.759,-96.859,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,39,0.68,43545,54.3,40.8,8.7,4329,35.2,32.0,31.0,100,76.2,41.6,51.5,51.4,63.6,58.4,40.8,red,Oak Cliff,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.759,-96.859"
EX005,Q Wash & Dry,1012 S Hampton Rd,Dallas,TX,75208,32.735,-96.856,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,39,0.41,46507,63.0,54.3,10.3,4042,56.0,45.4,36.9,100,95.6,68.6,63.8,46.2,93.6,70.6,46.5,yellow,Oak Cliff,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.735,-96.856"
EX006,Texas Coin & Commercial Laundry,8700 Chancellor Row,Dallas,TX,75247,32.823,-96.881,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,35,0.52,45478,58.9,50.6,8.2,4275,43.9,27.7,34.9,100,86.4,61.2,47.7,50.5,72.6,64.8,43.6,yellow,Irving East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.823,-96.881"
EX007,Select Coin Laundry,3701 W Northwest Hwy Ste 211,Dallas,TX,75220,32.865,-96.858,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,19,0.36,50492,43.6,39.6,9.3,3976,25.4,26.5,23.0,100,52.4,39.2,56.2,45.0,47.6,51.2,34.1,red,Irving East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.865,-96.858"
EX008,Abuelas Wash Coin,6529 Jeane St,Dallas,TX,75217,32.744,-96.704,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,27,0.66,47652,54.8,45.7,9.1,4875,32.4,25.2,30.5,100,77.3,51.4,54.6,61.4,57.6,62.2,42.9,yellow,East Dallas,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.744,-96.704"
EX009,Queen Wash N Dry,6556 Skillman St,Dallas,TX,75231,32.863,-96.744,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,17,0.99,57752,46.7,34.2,11.0,4216,35.0,15.1,26.5,100,59.3,28.4,69.2,49.4,54.4,54.1,40.1,red,East Dallas,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.863,-96.744"
EX010,CW's Laundry Mat,3045 N Buckner Blvd,Dallas,TX,75228,32.811,-96.682,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,20,0.11,54215,59.0,44.1,12.4,5095,33.2,38.2,25.9,100,86.7,48.2,80.0,65.4,61.9,67.2,42.4,yellow,East Dallas,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.811,-96.682"
