google_place_id,business_name,formatted_address,lat,lon,business_status,rating,review_count,phone,website,google_maps_url,types,source_query,discovery_city,matched_from_poi_id,distance_from_original_mi,google_verification_status,google_confidence_grade,verified_at_utc
,,,,,,,,,,,,Best Coin Laundry 9245 Skillman St Dallas TX,,EX001,,Low confidence / non-laundromat match,C,2026-06-03T18:27:49.403828+00:00
,,,,,,,,,,,,Clean N Bright Coin Laundry & Dry Cleaners 11555 Ferguson Rd Dallas TX,,EX002,,Low confidence / non-laundromat match,C,2026-06-03T18:27:49.648692+00:00
,,,,,,,,,,,,Speed Wash & Dry 4828 Columbia Ave Dallas TX,,EX003,,Low confidence / non-laundromat match,C,2026-06-03T18:27:49.891352+00:00
,,,,,,,,,,,,Lusso Laundry To Go 2119 W Colorado Blvd Dallas TX,,EX004,,Low confidence / non-laundromat match,C,2026-06-03T18:27:50.203453+00:00
,,,,,,,,,,,,Q Wash & Dry 1012 S Hampton Rd Dallas TX,,EX005,,Low confidence / non-laundromat match,C,2026-06-03T18:27:50.429613+00:00
,,,,,,,,,,,,Texas Coin & Commercial Laundry 8700 Chancellor Row Dallas TX,,EX006,,Low confidence / non-laundromat match,C,2026-06-03T18:27:50.675567+00:00
,,,,,,,,,,,,Select Coin Laundry 3701 W Northwest Hwy Ste 211 Dallas TX,,EX007,,Low confidence / non-laundromat match,C,2026-06-03T18:27:50.914919+00:00
,,,,,,,,,,,,Abuelas Wash Coin 6529 Jeane St Dallas TX,,EX008,,Low confidence / non-laundromat match,C,2026-06-03T18:27:51.141402+00:00
,,,,,,,,,,,,Queen Wash N Dry 6556 Skillman St Dallas TX,,EX009,,Low confidence / non-laundromat match,C,2026-06-03T18:27:51.373125+00:00
,,,,,,,,,,,,CW's Laundry Mat 3045 N Buckner Blvd Dallas TX,,EX010,,Low confidence / non-laundromat match,C,2026-06-03T18:27:51.609420+00:00
,,,,,,,,,,,,Wash M Dry 8440 Lake June Rd Dallas TX,,EX011,,Low confidence / non-laundromat match,C,2026-06-03T18:27:51.833466+00:00
,,,,,,,,,,,,Spincycle Coin Laundry 11225 Garland Rd Dallas TX,,EX012,,Low confidence / non-laundromat match,C,2026-06-03T18:27:52.058458+00:00
,,,,,,,,,,,,Big Coin Laundry 9660 Audelia Rd Ste 227 Dallas TX,,EX013,,Low confidence / non-laundromat match,C,2026-06-03T18:27:52.282844+00:00
,,,,,,,,,,,,Laundry Wash 2015 N Masters Dr Dallas TX,,EX014,,Low confidence / non-laundromat match,C,2026-06-03T18:27:52.523823+00:00
